Row,Day,Day.Of.Week,Date,Page.Loads,Unique.Visits,First.Time.Visits,Returning.Visits,ds,y
680,Sunday,1,2016-07-24,"2,568","1,755","1,374",381,2016-07-24,2568
681,Monday,2,2016-07-25,"4,770","3,320","2,628",692,2016-07-25,4770
682,Tuesday,3,2016-07-26,"4,621","3,277","2,595",682,2016-07-26,4621
683,Wednesday,4,2016-07-27,"4,470","3,164","2,513",651,2016-07-27,4470
684,Thursday,5,2016-07-28,"4,307","3,077","2,459",618,2016-07-28,4307
685,Friday,6,2016-07-29,"3,370","2,366","1,818",548,2016-07-29,3370
686,Saturday,7,2016-07-30,"1,960","1,341","1,017",324,2016-07-30,1960
687,Sunday,1,2016-07-31,"2,412","1,765","1,423",342,2016-07-31,2412
688,Monday,2,2016-08-01,"4,504","3,095","2,489",606,2016-08-01,4504
689,Tuesday,3,2016-08-02,"4,382","3,138","2,499",639,2016-08-02,4382
690,Wednesday,4,2016-08-03,"4,710","3,369","2,697",672,2016-08-03,4710
691,Thursday,5,2016-08-04,"4,324","3,106","2,479",627,2016-08-04,4324
692,Friday,6,2016-08-05,"3,472","2,497","1,980",517,2016-08-05,3472
693,Saturday,7,2016-08-06,"1,909","1,339","1,081",258,2016-08-06,1909
694,Sunday,1,2016-08-07,"2,365","1,688","1,334",354,2016-08-07,2365
695,Monday,2,2016-08-08,"4,460","3,056","2,438",618,2016-08-08,4460
696,Tuesday,3,2016-08-09,"4,479","3,135","2,482",653,2016-08-09,4479
697,Wednesday,4,2016-08-10,"4,510","3,207","2,550",657,2016-08-10,4510
698,Thursday,5,2016-08-11,"4,340","3,111","2,491",620,2016-08-11,4340
699,Friday,6,2016-08-12,"3,508","2,436","1,933",503,2016-08-12,3508
700,Saturday,7,2016-08-13,"2,030","1,420","1,122",298,2016-08-13,2030
701,Sunday,1,2016-08-14,"2,586","1,749","1,399",350,2016-08-14,2586
702,Monday,2,2016-08-15,"4,476","2,970","2,346",624,2016-08-15,4476
703,Tuesday,3,2016-08-16,"3,232","2,299","1,823",476,2016-08-16,3232
704,Wednesday,4,2016-08-17,"4,291","3,106","2,498",608,2016-08-17,4291
705,Thursday,5,2016-08-18,"4,247","2,926","2,327",599,2016-08-18,4247
706,Friday,6,2016-08-19,"3,477","2,539","2,045",494,2016-08-19,3477
707,Saturday,7,2016-08-20,"2,169","1,470","1,169",301,2016-08-20,2169
708,Sunday,1,2016-08-21,"2,430","1,808","1,453",355,2016-08-21,2430
709,Monday,2,2016-08-22,"4,358","3,082","2,439",643,2016-08-22,4358
710,Tuesday,3,2016-08-23,"4,465","3,249","2,550",699,2016-08-23,4465
711,Wednesday,4,2016-08-24,"4,550","3,210","2,615",595,2016-08-24,4550
712,Thursday,5,2016-08-25,"4,147","3,011","2,380",631,2016-08-25,4147
713,Friday,6,2016-08-26,"3,634","2,532","2,000",532,2016-08-26,3634
714,Saturday,7,2016-08-27,"2,014","1,430","1,141",289,2016-08-27,2014
715,Sunday,1,2016-08-28,"2,687","1,910","1,555",355,2016-08-28,2687
716,Monday,2,2016-08-29,"4,376","3,115","2,521",594,2016-08-29,4376
717,Tuesday,3,2016-08-30,"4,318","3,226","2,622",604,2016-08-30,4318
718,Wednesday,4,2016-08-31,"4,441","3,219","2,620",599,2016-08-31,4441
719,Thursday,5,2016-09-01,"4,234","3,116","2,556",560,2016-09-01,4234
720,Friday,6,2016-09-02,"3,027","2,230","1,762",468,2016-09-02,3027
721,Saturday,7,2016-09-03,"1,966","1,376","1,101",275,2016-09-03,1966
722,Sunday,1,2016-09-04,"2,446","1,761","1,452",309,2016-09-04,2446
723,Monday,2,2016-09-05,"3,779","2,643","2,145",498,2016-09-05,3779
724,Tuesday,3,2016-09-06,"4,619","3,341","2,727",614,2016-09-06,4619
725,Wednesday,4,2016-09-07,"4,983","3,584","2,925",659,2016-09-07,4983
726,Thursday,5,2016-09-08,"4,645","3,319","2,716",603,2016-09-08,4645
727,Friday,6,2016-09-09,"3,612","2,630","2,139",491,2016-09-09,3612
728,Saturday,7,2016-09-10,"2,153","1,577","1,323",254,2016-09-10,2153
729,Sunday,1,2016-09-11,"3,089","2,307","1,978",329,2016-09-11,3089
730,Monday,2,2016-09-12,"4,580","3,446","2,882",564,2016-09-12,4580
731,Tuesday,3,2016-09-13,"4,788","3,625","2,992",633,2016-09-13,4788
732,Wednesday,4,2016-09-14,"5,095","3,759","3,113",646,2016-09-14,5095
733,Thursday,5,2016-09-15,"4,668","3,454","2,860",594,2016-09-15,4668
734,Friday,6,2016-09-16,"3,711","2,785","2,272",513,2016-09-16,3711
735,Saturday,7,2016-09-17,"2,523","1,861","1,577",284,2016-09-17,2523
736,Sunday,1,2016-09-18,"3,364","2,547","2,122",425,2016-09-18,3364
737,Monday,2,2016-09-19,"5,513","4,050","3,321",729,2016-09-19,5513
738,Tuesday,3,2016-09-20,"5,362","3,762","3,095",667,2016-09-20,5362
739,Wednesday,4,2016-09-21,"5,402","3,987","3,293",694,2016-09-21,5402
740,Thursday,5,2016-09-22,"5,398","3,996","3,299",697,2016-09-22,5398
741,Friday,6,2016-09-23,"3,783","2,663","2,134",529,2016-09-23,3783
742,Saturday,7,2016-09-24,"2,395","1,797","1,503",294,2016-09-24,2395
743,Sunday,1,2016-09-25,"3,679","2,719","2,289",430,2016-09-25,3679
744,Monday,2,2016-09-26,"5,688","4,325","3,570",755,2016-09-26,5688
745,Tuesday,3,2016-09-27,"5,842","4,382","3,645",737,2016-09-27,5842
746,Wednesday,4,2016-09-28,"5,923","4,458","3,682",776,2016-09-28,5923
747,Thursday,5,2016-09-29,"5,717","4,222","3,487",735,2016-09-29,5717
748,Friday,6,2016-09-30,"4,250","3,176","2,565",611,2016-09-30,4250
749,Saturday,7,2016-10-01,"2,525","1,986","1,656",330,2016-10-01,2525
750,Sunday,1,2016-10-02,"3,923","3,023","2,559",464,2016-10-02,3923
751,Monday,2,2016-10-03,"5,785","4,281","3,545",736,2016-10-03,5785
752,Tuesday,3,2016-10-04,"6,052","4,522","3,780",742,2016-10-04,6052
753,Wednesday,4,2016-10-05,"6,150","4,588","3,814",774,2016-10-05,6150
754,Thursday,5,2016-10-06,"5,591","4,134","3,419",715,2016-10-06,5591
755,Friday,6,2016-10-07,"4,279","3,196","2,616",580,2016-10-07,4279
756,Saturday,7,2016-10-08,"2,897","2,066","1,717",349,2016-10-08,2897
757,Sunday,1,2016-10-09,"3,904","2,873","2,374",499,2016-10-09,3904
758,Monday,2,2016-10-10,"5,458","4,145","3,442",703,2016-10-10,5458
759,Tuesday,3,2016-10-11,"5,909","4,399","3,685",714,2016-10-11,5909
760,Wednesday,4,2016-10-12,"6,175","4,620","3,823",797,2016-10-12,6175
761,Thursday,5,2016-10-13,"5,856","4,422","3,581",841,2016-10-13,5856
762,Friday,6,2016-10-14,"4,610","3,505","2,837",668,2016-10-14,4610
763,Saturday,7,2016-10-15,"3,081","2,269","1,864",405,2016-10-15,3081
764,Sunday,1,2016-10-16,"4,390","3,265","2,718",547,2016-10-16,4390
765,Monday,2,2016-10-17,"6,507","4,917","4,018",899,2016-10-17,6507
766,Tuesday,3,2016-10-18,"6,941","5,103","4,189",914,2016-10-18,6941
767,Wednesday,4,2016-10-19,"6,576","4,776","3,961",815,2016-10-19,6576
768,Thursday,5,2016-10-20,"5,985","4,462","3,701",761,2016-10-20,5985
769,Friday,6,2016-10-21,"4,789","3,497","2,840",657,2016-10-21,4789
770,Saturday,7,2016-10-22,"3,263","2,292","1,881",411,2016-10-22,3263
771,Sunday,1,2016-10-23,"4,180","3,135","2,561",574,2016-10-23,4180
772,Monday,2,2016-10-24,"6,371","4,865","3,993",872,2016-10-24,6371
773,Tuesday,3,2016-10-25,"6,648","4,960","4,070",890,2016-10-25,6648
774,Wednesday,4,2016-10-26,"6,501","4,777","3,880",897,2016-10-26,6501
775,Thursday,5,2016-10-27,"6,088","4,431","3,574",857,2016-10-27,6088
776,Friday,6,2016-10-28,"4,376","3,179","2,510",669,2016-10-28,4376
777,Saturday,7,2016-10-29,"2,733","1,955","1,549",406,2016-10-29,2733
778,Sunday,1,2016-10-30,"3,953","2,921","2,344",577,2016-10-30,3953
779,Monday,2,2016-10-31,"6,108","4,416","3,563",853,2016-10-31,6108
780,Tuesday,3,2016-11-01,"5,668","4,185","3,360",825,2016-11-01,5668
781,Wednesday,4,2016-11-02,"6,159","4,508","3,663",845,2016-11-02,6159
782,Thursday,5,2016-11-03,"5,810","4,241","3,426",815,2016-11-03,5810
783,Friday,6,2016-11-04,"4,491","3,394","2,670",724,2016-11-04,4491
784,Saturday,7,2016-11-05,"3,110","2,263","1,842",421,2016-11-05,3110
785,Sunday,1,2016-11-06,"4,418","3,281","2,713",568,2016-11-06,4418
786,Monday,2,2016-11-07,"6,529","4,488","3,573",915,2016-11-07,6529
787,Tuesday,3,2016-11-08,"5,756","4,251","3,437",814,2016-11-08,5756
788,Wednesday,4,2016-11-09,"5,716","4,102","3,315",787,2016-11-09,5716
789,Thursday,5,2016-11-10,"5,323","4,022","3,246",776,2016-11-10,5323
790,Friday,6,2016-11-11,"4,280","3,085","2,441",644,2016-11-11,4280
791,Saturday,7,2016-11-12,"2,982","2,169","1,777",392,2016-11-12,2982
792,Sunday,1,2016-11-13,"4,365","3,172","2,595",577,2016-11-13,4365
793,Monday,2,2016-11-14,"6,627","4,888","3,942",946,2016-11-14,6627
794,Tuesday,3,2016-11-15,"6,467","4,808","3,905",903,2016-11-15,6467
795,Wednesday,4,2016-11-16,"6,631","4,903","3,984",919,2016-11-16,6631
796,Thursday,5,2016-11-17,"6,378","4,681","3,779",902,2016-11-17,6378
797,Friday,6,2016-11-18,"4,767","3,424","2,734",690,2016-11-18,4767
798,Saturday,7,2016-11-19,"3,501","2,580","2,136",444,2016-11-19,3501
799,Sunday,1,2016-11-20,"4,647","3,426","2,777",649,2016-11-20,4647
800,Monday,2,2016-11-21,"6,336","4,693","3,788",905,2016-11-21,6336
801,Tuesday,3,2016-11-22,"6,222","4,564","3,646",918,2016-11-22,6222
802,Wednesday,4,2016-11-23,"5,527","3,904","3,082",822,2016-11-23,5527
803,Thursday,5,2016-11-24,"4,267","3,197","2,561",636,2016-11-24,4267
804,Friday,6,2016-11-25,"3,733","2,678","2,135",543,2016-11-25,3733
805,Saturday,7,2016-11-26,"3,299","2,394","1,907",487,2016-11-26,3299
806,Sunday,1,2016-11-27,"4,530","3,396","2,722",674,2016-11-27,4530
807,Monday,2,2016-11-28,"6,908","5,047","4,167",880,2016-11-28,6908
808,Tuesday,3,2016-11-29,"7,714","5,338","4,369",969,2016-11-29,7714
809,Wednesday,4,2016-11-30,"7,490","5,425","4,389","1,036",2016-11-30,7490
810,Thursday,5,2016-12-01,"7,190","5,081","4,120",961,2016-12-01,7190
811,Friday,6,2016-12-02,"5,391","3,977","3,171",806,2016-12-02,5391
812,Saturday,7,2016-12-03,"3,575","2,667","2,178",489,2016-12-03,3575
813,Sunday,1,2016-12-04,"5,285","4,031","3,247",784,2016-12-04,5285
814,Monday,2,2016-12-05,"7,330","5,439","4,452",987,2016-12-05,7330
815,Tuesday,3,2016-12-06,"7,489","5,479","4,500",979,2016-12-06,7489
816,Wednesday,4,2016-12-07,"7,345","5,467","4,469",998,2016-12-07,7345
817,Thursday,5,2016-12-08,"6,679","4,991","3,998",993,2016-12-08,6679
818,Friday,6,2016-12-09,"5,403","3,970","3,190",780,2016-12-09,5403
819,Saturday,7,2016-12-10,"3,573","2,712","2,203",509,2016-12-10,3573
820,Sunday,1,2016-12-11,"4,834","3,515","2,838",677,2016-12-11,4834
821,Monday,2,2016-12-12,"6,905","4,945","3,988",957,2016-12-12,6905
822,Tuesday,3,2016-12-13,"6,743","4,927","3,942",985,2016-12-13,6743
823,Wednesday,4,2016-12-14,"6,201","4,488","3,593",895,2016-12-14,6201
824,Thursday,5,2016-12-15,"5,571","4,071","3,229",842,2016-12-15,5571
825,Friday,6,2016-12-16,"3,872","2,780","2,191",589,2016-12-16,3872
826,Saturday,7,2016-12-17,"2,613","1,884","1,480",404,2016-12-17,2613
827,Sunday,1,2016-12-18,"3,109","2,293","1,853",440,2016-12-18,3109
828,Monday,2,2016-12-19,"4,324","3,145","2,477",668,2016-12-19,4324
829,Tuesday,3,2016-12-20,"4,226","3,064","2,339",725,2016-12-20,4226
830,Wednesday,4,2016-12-21,"3,991","2,914","2,278",636,2016-12-21,3991
831,Thursday,5,2016-12-22,"3,160","2,211","1,728",483,2016-12-22,3160
832,Friday,6,2016-12-23,"2,386","1,626","1,257",369,2016-12-23,2386
833,Saturday,7,2016-12-24,"1,115",825,634,191,2016-12-24,1115
834,Sunday,1,2016-12-25,"1,387",930,740,190,2016-12-25,1387
835,Monday,2,2016-12-26,"2,147","1,418","1,142",276,2016-12-26,2147
836,Tuesday,3,2016-12-27,"2,686","1,777","1,349",428,2016-12-27,2686
837,Wednesday,4,2016-12-28,"2,885","1,915","1,476",439,2016-12-28,2885
838,Thursday,5,2016-12-29,"2,694","1,837","1,400",437,2016-12-29,2694
839,Friday,6,2016-12-30,"2,273","1,541","1,164",377,2016-12-30,2273
840,Saturday,7,2016-12-31,"1,188",836,643,193,2016-12-31,1188
841,Sunday,1,2017-01-01,"1,447","1,039",832,207,2017-01-01,1447
842,Monday,2,2017-01-02,"2,568","1,844","1,448",396,2017-01-02,2568
843,Tuesday,3,2017-01-03,"3,566","2,527","1,970",557,2017-01-03,3566
844,Wednesday,4,2017-01-04,"3,941","2,816","2,226",590,2017-01-04,3941
845,Thursday,5,2017-01-05,"3,841","2,625","2,058",567,2017-01-05,3841
846,Friday,6,2017-01-06,"3,261","2,338","1,812",526,2017-01-06,3261
847,Saturday,7,2017-01-07,"2,241","1,523","1,204",319,2017-01-07,2241
848,Sunday,1,2017-01-08,"2,679","1,892","1,519",373,2017-01-08,2679
849,Monday,2,2017-01-09,"4,182","2,841","2,191",650,2017-01-09,4182
850,Tuesday,3,2017-01-10,"4,236","3,039","2,391",648,2017-01-10,4236
851,Wednesday,4,2017-01-11,"4,628","3,206","2,536",670,2017-01-11,4628
852,Thursday,5,2017-01-12,"4,205","3,025","2,403",622,2017-01-12,4205
853,Friday,6,2017-01-13,"3,459","2,508","2,033",475,2017-01-13,3459
854,Saturday,7,2017-01-14,"2,448","1,744","1,390",354,2017-01-14,2448
855,Sunday,1,2017-01-15,"2,853","2,015","1,586",429,2017-01-15,2853
856,Monday,2,2017-01-16,"4,638","3,178","2,543",635,2017-01-16,4638
857,Tuesday,3,2017-01-17,"5,325","3,669","2,942",727,2017-01-17,5325
858,Wednesday,4,2017-01-18,"4,866","3,364","2,670",694,2017-01-18,4866
859,Thursday,5,2017-01-19,"4,715","3,375","2,689",686,2017-01-19,4715
860,Friday,6,2017-01-20,"3,753","2,713","2,136",577,2017-01-20,3753
861,Saturday,7,2017-01-21,"2,481","1,778","1,437",341,2017-01-21,2481
862,Sunday,1,2017-01-22,"3,233","2,401","1,981",420,2017-01-22,3233
863,Monday,2,2017-01-23,"5,034","3,660","2,957",703,2017-01-23,5034
864,Tuesday,3,2017-01-24,"4,787","3,593","2,909",684,2017-01-24,4787
865,Wednesday,4,2017-01-25,"4,901","3,602","2,923",679,2017-01-25,4901
866,Thursday,5,2017-01-26,"4,398","3,266","2,653",613,2017-01-26,4398
867,Friday,6,2017-01-27,"3,823","2,832","2,267",565,2017-01-27,3823
868,Saturday,7,2017-01-28,"2,619","1,901","1,534",367,2017-01-28,2619
869,Sunday,1,2017-01-29,"3,518","2,612","2,205",407,2017-01-29,3518
870,Monday,2,2017-01-30,"5,178","3,826","3,127",699,2017-01-30,5178
871,Tuesday,3,2017-01-31,"5,290","3,876","3,127",749,2017-01-31,5290
872,Wednesday,4,2017-02-01,"5,469","4,116","3,402",714,2017-02-01,5469
873,Thursday,5,2017-02-02,"5,399","4,028","3,303",725,2017-02-02,5399
874,Friday,6,2017-02-03,"4,232","3,012","2,342",670,2017-02-03,4232
875,Saturday,7,2017-02-04,"2,828","2,084","1,697",387,2017-02-04,2828
876,Sunday,1,2017-02-05,"3,724","2,783","2,281",502,2017-02-05,3724
877,Monday,2,2017-02-06,"5,733","4,249","3,448",801,2017-02-06,5733
878,Tuesday,3,2017-02-07,"5,814","4,284","3,521",763,2017-02-07,5814
879,Wednesday,4,2017-02-08,"5,349","4,006","3,248",758,2017-02-08,5349
880,Thursday,5,2017-02-09,"5,025","3,681","3,010",671,2017-02-09,5025
881,Friday,6,2017-02-10,"4,044","2,922","2,335",587,2017-02-10,4044
882,Saturday,7,2017-02-11,"2,323","1,731","1,377",354,2017-02-11,2323
883,Sunday,1,2017-02-12,"3,147","2,469","2,005",464,2017-02-12,3147
884,Monday,2,2017-02-13,"4,972","3,719","3,014",705,2017-02-13,4972
885,Tuesday,3,2017-02-14,"4,878","3,582","2,897",685,2017-02-14,4878
886,Wednesday,4,2017-02-15,"5,288","3,786","3,039",747,2017-02-15,5288
887,Thursday,5,2017-02-16,"4,968","3,668","2,934",734,2017-02-16,4968
888,Friday,6,2017-02-17,"3,788","2,748","2,158",590,2017-02-17,3788
889,Saturday,7,2017-02-18,"2,514","1,839","1,496",343,2017-02-18,2514
890,Sunday,1,2017-02-19,"3,463","2,602","2,083",519,2017-02-19,3463
891,Monday,2,2017-02-20,"4,931","3,700","3,009",691,2017-02-20,4931
892,Tuesday,3,2017-02-21,"5,101","3,873","3,079",794,2017-02-21,5101
893,Wednesday,4,2017-02-22,"5,144","3,727","2,998",729,2017-02-22,5144
894,Thursday,5,2017-02-23,"4,433","3,372","2,657",715,2017-02-23,4433
895,Friday,6,2017-02-24,"3,597","2,648","2,111",537,2017-02-24,3597
896,Saturday,7,2017-02-25,"2,621","1,826","1,482",344,2017-02-25,2621
897,Sunday,1,2017-02-26,"3,397","2,494","2,021",473,2017-02-26,3397
898,Monday,2,2017-02-27,"5,062","3,812","3,009",803,2017-02-27,5062
899,Tuesday,3,2017-02-28,"4,926","3,678","2,933",745,2017-02-28,4926
900,Wednesday,4,2017-03-01,"4,936","3,558","2,822",736,2017-03-01,4936
901,Thursday,5,2017-03-02,"4,688","3,441","2,747",694,2017-03-02,4688
902,Friday,6,2017-03-03,"3,827","2,699","2,140",559,2017-03-03,3827
903,Saturday,7,2017-03-04,"2,452","1,754","1,408",346,2017-03-04,2452
904,Sunday,1,2017-03-05,"3,283","2,394","1,958",436,2017-03-05,3283
905,Monday,2,2017-03-06,"4,823","3,481","2,764",717,2017-03-06,4823
906,Tuesday,3,2017-03-07,"4,821","3,662","2,942",720,2017-03-07,4821
907,Wednesday,4,2017-03-08,"5,059","3,613","2,923",690,2017-03-08,5059
908,Thursday,5,2017-03-09,"4,585","3,444","2,744",700,2017-03-09,4585
909,Friday,6,2017-03-10,"3,682","2,733","2,178",555,2017-03-10,3682
910,Saturday,7,2017-03-11,"2,350","1,714","1,351",363,2017-03-11,2350
911,Sunday,1,2017-03-12,"3,056","2,189","1,755",434,2017-03-12,3056
912,Monday,2,2017-03-13,"4,746","3,367","2,721",646,2017-03-13,4746
913,Tuesday,3,2017-03-14,"4,613","3,465","2,808",657,2017-03-14,4613
914,Wednesday,4,2017-03-15,"4,560","3,441","2,694",747,2017-03-15,4560
915,Thursday,5,2017-03-16,"4,520","3,304","2,629",675,2017-03-16,4520
916,Friday,6,2017-03-17,"3,346","2,433","1,930",503,2017-03-17,3346
917,Saturday,7,2017-03-18,"2,253","1,649","1,325",324,2017-03-18,2253
918,Sunday,1,2017-03-19,"2,927","2,267","1,807",460,2017-03-19,2927
919,Monday,2,2017-03-20,"4,878","3,463","2,799",664,2017-03-20,4878
920,Tuesday,3,2017-03-21,"4,852","3,481","2,802",679,2017-03-21,4852
921,Wednesday,4,2017-03-22,"4,585","3,430","2,757",673,2017-03-22,4585
922,Thursday,5,2017-03-23,"4,477","3,260","2,600",660,2017-03-23,4477
923,Friday,6,2017-03-24,"3,654","2,566","1,993",573,2017-03-24,3654
924,Saturday,7,2017-03-25,"2,411","1,760","1,420",340,2017-03-25,2411
925,Sunday,1,2017-03-26,"3,054","2,336","1,882",454,2017-03-26,3054
926,Monday,2,2017-03-27,"4,696","3,479","2,765",714,2017-03-27,4696
927,Tuesday,3,2017-03-28,"5,033","3,633","2,875",758,2017-03-28,5033
928,Wednesday,4,2017-03-29,"4,948","3,530","2,809",721,2017-03-29,4948
929,Thursday,5,2017-03-30,"4,636","3,390","2,704",686,2017-03-30,4636
930,Friday,6,2017-03-31,"3,539","2,636","2,060",576,2017-03-31,3539
931,Saturday,7,2017-04-01,"2,371","1,678","1,338",340,2017-04-01,2371
932,Sunday,1,2017-04-02,"2,816","2,159","1,715",444,2017-04-02,2816
933,Monday,2,2017-04-03,"4,493","3,356","2,672",684,2017-04-03,4493
934,Tuesday,3,2017-04-04,"4,678","3,486","2,739",747,2017-04-04,4678
935,Wednesday,4,2017-04-05,"4,737","3,484","2,762",722,2017-04-05,4737
936,Thursday,5,2017-04-06,"4,775","3,514","2,806",708,2017-04-06,4775
937,Friday,6,2017-04-07,"3,658","2,725","2,181",544,2017-04-07,3658
938,Saturday,7,2017-04-08,"2,260","1,664","1,324",340,2017-04-08,2260
939,Sunday,1,2017-04-09,"3,343","2,433","1,933",500,2017-04-09,3343
940,Monday,2,2017-04-10,"4,640","3,440","2,756",684,2017-04-10,4640
941,Tuesday,3,2017-04-11,"4,694","3,532","2,867",665,2017-04-11,4694
942,Wednesday,4,2017-04-12,"4,771","3,517","2,800",717,2017-04-12,4771
943,Thursday,5,2017-04-13,"4,173","3,017","2,395",622,2017-04-13,4173
944,Friday,6,2017-04-14,"3,046","2,238","1,752",486,2017-04-14,3046
945,Saturday,7,2017-04-15,"2,260","1,701","1,333",368,2017-04-15,2260
946,Sunday,1,2017-04-16,"2,876","2,143","1,700",443,2017-04-16,2876
947,Monday,2,2017-04-17,"4,774","3,402","2,719",683,2017-04-17,4774
948,Tuesday,3,2017-04-18,"5,009","3,702","2,906",796,2017-04-18,5009
949,Wednesday,4,2017-04-19,"5,369","3,852","3,133",719,2017-04-19,5369
950,Thursday,5,2017-04-20,"5,020","3,669","2,969",700,2017-04-20,5020
951,Friday,6,2017-04-21,"3,935","2,802","2,203",599,2017-04-21,3935
952,Saturday,7,2017-04-22,"2,795","2,049","1,630",419,2017-04-22,2795
953,Sunday,1,2017-04-23,"3,795","2,827","2,305",522,2017-04-23,3795
954,Monday,2,2017-04-24,"5,489","4,083","3,252",831,2017-04-24,5489
955,Tuesday,3,2017-04-25,"5,680","4,108","3,336",772,2017-04-25,5680
956,Wednesday,4,2017-04-26,"5,383","3,940","3,205",735,2017-04-26,5383
957,Thursday,5,2017-04-27,"4,890","3,695","2,985",710,2017-04-27,4890
958,Friday,6,2017-04-28,"3,872","2,887","2,310",577,2017-04-28,3872
959,Saturday,7,2017-04-29,"2,790","1,987","1,602",385,2017-04-29,2790
960,Sunday,1,2017-04-30,"3,524","2,616","2,118",498,2017-04-30,3524
961,Monday,2,2017-05-01,"4,903","3,551","2,875",676,2017-05-01,4903
962,Tuesday,3,2017-05-02,"5,160","3,802","3,079",723,2017-05-02,5160
963,Wednesday,4,2017-05-03,"5,194","3,766","2,995",771,2017-05-03,5194
964,Thursday,5,2017-05-04,"5,142","3,755","3,013",742,2017-05-04,5142
965,Friday,6,2017-05-05,"3,836","2,925","2,323",602,2017-05-05,3836
966,Saturday,7,2017-05-06,"2,737","1,981","1,572",409,2017-05-06,2737
967,Sunday,1,2017-05-07,"3,386","2,534","2,025",509,2017-05-07,3386
968,Monday,2,2017-05-08,"4,816","3,585","2,900",685,2017-05-08,4816
969,Tuesday,3,2017-05-09,"4,734","3,458","2,763",695,2017-05-09,4734
970,Wednesday,4,2017-05-10,"4,761","3,475","2,754",721,2017-05-10,4761
971,Thursday,5,2017-05-11,"4,277","3,224","2,570",654,2017-05-11,4277
972,Friday,6,2017-05-12,"3,563","2,620","2,056",564,2017-05-12,3563
973,Saturday,7,2017-05-13,"2,401","1,749","1,379",370,2017-05-13,2401
974,Sunday,1,2017-05-14,"2,877","2,126","1,674",452,2017-05-14,2877
975,Monday,2,2017-05-15,"4,448","3,191","2,494",697,2017-05-15,4448
976,Tuesday,3,2017-05-16,"4,525","3,226","2,593",633,2017-05-16,4525
977,Wednesday,4,2017-05-17,"4,533","3,318","2,676",642,2017-05-17,4533
978,Thursday,5,2017-05-18,"4,431","3,307","2,686",621,2017-05-18,4431
979,Friday,6,2017-05-19,"3,456","2,470","1,938",532,2017-05-19,3456
980,Saturday,7,2017-05-20,"2,162","1,651","1,332",319,2017-05-20,2162
981,Sunday,1,2017-05-21,"2,786","1,971","1,597",374,2017-05-21,2786
982,Monday,2,2017-05-22,"4,172","3,041","2,403",638,2017-05-22,4172
983,Tuesday,3,2017-05-23,"4,255","3,077","2,457",620,2017-05-23,4255
984,Wednesday,4,2017-05-24,"4,154","2,996","2,400",596,2017-05-24,4154
985,Thursday,5,2017-05-25,"3,803","2,839","2,263",576,2017-05-25,3803
986,Friday,6,2017-05-26,"2,950","2,183","1,720",463,2017-05-26,2950
987,Saturday,7,2017-05-27,"1,909","1,444","1,155",289,2017-05-27,1909
988,Sunday,1,2017-05-28,"2,506","1,781","1,399",382,2017-05-28,2506
989,Monday,2,2017-05-29,"3,325","2,457","1,913",544,2017-05-29,3325
990,Tuesday,3,2017-05-30,"4,086","2,909","2,298",611,2017-05-30,4086
991,Wednesday,4,2017-05-31,"3,716","2,667","2,069",598,2017-05-31,3716
992,Thursday,5,2017-06-01,"3,702","2,639","2,103",536,2017-06-01,3702
993,Friday,6,2017-06-02,"2,959","2,171","1,680",491,2017-06-02,2959
994,Saturday,7,2017-06-03,"2,006","1,471","1,161",310,2017-06-03,2006
995,Sunday,1,2017-06-04,"2,479","1,795","1,419",376,2017-06-04,2479
996,Monday,2,2017-06-05,"3,501","2,610","2,072",538,2017-06-05,3501
997,Tuesday,3,2017-06-06,"3,985","2,922","2,361",561,2017-06-06,3985
998,Wednesday,4,2017-06-07,"3,920","2,913","2,314",599,2017-06-07,3920
999,Thursday,5,2017-06-08,"3,868","2,796","2,209",587,2017-06-08,3868
1000,Friday,6,2017-06-09,"2,921","2,101","1,660",441,2017-06-09,2921
1001,Saturday,7,2017-06-10,"1,655","1,244",975,269,2017-06-10,1655
1002,Sunday,1,2017-06-11,"2,229","1,622","1,299",323,2017-06-11,2229
1003,Monday,2,2017-06-12,"3,660","2,598","2,020",578,2017-06-12,3660
1004,Tuesday,3,2017-06-13,"3,898","2,809","2,202",607,2017-06-13,3898
1005,Wednesday,4,2017-06-14,"3,912","2,797","2,200",597,2017-06-14,3912
1006,Thursday,5,2017-06-15,"3,604","2,624","2,029",595,2017-06-15,3604
1007,Friday,6,2017-06-16,"2,970","2,105","1,621",484,2017-06-16,2970
1008,Saturday,7,2017-06-17,"1,546","1,187",957,230,2017-06-17,1546
1009,Sunday,1,2017-06-18,"1,944","1,465","1,146",319,2017-06-18,1944
1010,Monday,2,2017-06-19,"3,608","2,493","1,959",534,2017-06-19,3608
1011,Tuesday,3,2017-06-20,"3,514","2,472","1,905",567,2017-06-20,3514
1012,Wednesday,4,2017-06-21,"3,344","2,475","1,915",560,2017-06-21,3344
1013,Thursday,5,2017-06-22,"3,292","2,351","1,824",527,2017-06-22,3292
1014,Friday,6,2017-06-23,"2,469","1,850","1,445",405,2017-06-23,2469
1015,Saturday,7,2017-06-24,"1,296",925,702,223,2017-06-24,1296
1016,Sunday,1,2017-06-25,"1,546","1,071",811,260,2017-06-25,1546
1017,Monday,2,2017-06-26,"2,948","1,998","1,528",470,2017-06-26,2948
1018,Tuesday,3,2017-06-27,"3,077","2,190","1,690",500,2017-06-27,3077
1019,Wednesday,4,2017-06-28,"3,028","2,145","1,649",496,2017-06-28,3028
